dataSetName,dataSetNumber,Lenght,Lambda,Neff,phaseShift
51,waveguide_smt_L1.0_LAM1050_Neff1.3_end.0-trans.2d_dat,1.0,1050,1.3,-1.49702446e+00
52,waveguide_smt_L1.0_LAM1050_Neff1.5_end.0-trans.2d_dat,1.0,1050,1.5,-2.67401385e+00
53,waveguide_smt_L1.0_LAM1050_Neff1.7_end.0-trans.2d_dat,1.0,1050,1.7,2.34767906e+00
54,waveguide_smt_L1.0_LAM1050_Neff1.9_end.0-trans.2d_dat,1.0,1050,1.9,1.24273629e+00
55,waveguide_smt_L1.0_LAM1050_Neff2.1_end.0-trans.2d_dat,1.0,1050,2.1,1.52913752e-11
56,waveguide_smt_L1.0_LAM1050_Neff2.3_end.0-trans.2d_dat,1.0,1050,2.3,-1.27427971e+00
57,waveguide_smt_L1.0_LAM1050_Neff2.5_end.0-trans.2d_dat,1.0,1050,2.5,-2.24222557e+00
58,waveguide_smt_L1.0_LAM1050_Neff2.7_end.0-trans.2d_dat,1.0,1050,2.7,2.53820478e+00
59,waveguide_smt_L1.0_LAM1050_Neff2.9_end.0-trans.2d_dat,1.0,1050,2.9,1.52113709e+00
60,waveguide_smt_L1.0_LAM1060_Neff1.1_end.0-trans.2d_dat,1.0,1060,1.1,-2.37101332e-01
61,waveguide_smt_L1.0_LAM1060_Neff1.3_end.0-trans.2d_dat,1.0,1060,1.3,-1.42462278e+00
62,waveguide_smt_L1.0_LAM1060_Neff1.5_end.0-trans.2d_dat,1.0,1060,1.5,-2.58715068e+00
63,waveguide_smt_L1.0_LAM1060_Neff1.7_end.0-trans.2d_dat,1.0,1060,1.7,2.44475682e+00
64,waveguide_smt_L1.0_LAM1060_Neff1.9_end.0-trans.2d_dat,1.0,1060,1.9,1.33811991e+00
65,waveguide_smt_L1.0_LAM1060_Neff2.1_end.0-trans.2d_dat,1.0,1060,2.1,1.43889073e-01
66,waveguide_smt_L1.0_LAM1060_Neff2.3_end.0-trans.2d_dat,1.0,1060,2.3,-1.16540282e+00
67,waveguide_smt_L1.0_LAM1060_Neff2.5_end.0-trans.2d_dat,1.0,1060,2.5,-2.10991534e+00
68,waveguide_smt_L1.0_LAM1060_Neff2.7_end.0-trans.2d_dat,1.0,1060,2.7,2.72962029e+00
69,waveguide_smt_L1.0_LAM1060_Neff2.9_end.0-trans.2d_dat,1.0,1060,2.9,1.62985071e+00
70,waveguide_smt_L1.0_LAM1070_Neff1.1_end.0-trans.2d_dat,1.0,1070,1.1,-1.76164074e-01
71,waveguide_smt_L1.0_LAM1070_Neff1.3_end.0-trans.2d_dat,1.0,1070,1.3,-1.35353323e+00
72,waveguide_smt_L1.0_LAM1070_Neff1.5_end.0-trans.2d_dat,1.0,1070,1.5,-2.50251349e+00
73,waveguide_smt_L1.0_LAM1070_Neff1.7_end.0-trans.2d_dat,1.0,1070,1.7,2.54167014e+00
74,waveguide_smt_L1.0_LAM1070_Neff1.9_end.0-trans.2d_dat,1.0,1070,1.9,1.43045302e+00
75,waveguide_smt_L1.0_LAM1070_Neff2.1_end.0-trans.2d_dat,1.0,1070,2.1,2.83271481e-01
76,waveguide_smt_L1.0_LAM1070_Neff2.3_end.0-trans.2d_dat,1.0,1070,2.3,-1.05341869e+00
77,waveguide_smt_L1.0_LAM1070_Neff2.5_end.0-trans.2d_dat,1.0,1070,2.5,-1.98958820e+00
78,waveguide_smt_L1.0_LAM1070_Neff2.7_end.0-trans.2d_dat,1.0,1070,2.7,2.93307387e+00
79,waveguide_smt_L1.0_LAM1070_Neff2.9_end.0-trans.2d_dat,1.0,1070,2.9,1.73824986e+00
80,waveguide_smt_L1.0_LAM1080_Neff1.1_end.0-trans.2d_dat,1.0,1080,1.1,-1.16355283e-01
81,waveguide_smt_L1.0_LAM1080_Neff1.3_end.0-trans.2d_dat,1.0,1080,1.3,-1.28370212e+00
82,waveguide_smt_L1.0_LAM1080_Neff1.5_end.0-trans.2d_dat,1.0,1080,1.5,-2.42005997e+00
83,waveguide_smt_L1.0_LAM1080_Neff1.7_end.0-trans.2d_dat,1.0,1080,1.7,2.63831899e+00
84,waveguide_smt_L1.0_LAM1080_Neff1.9_end.0-trans.2d_dat,1.0,1080,1.9,1.52032941e+00
85,waveguide_smt_L1.0_LAM1080_Neff2.1_end.0-trans.2d_dat,1.0,1080,2.1,4.16809888e-01
86,waveguide_smt_L1.0_LAM1080_Neff2.3_end.0-trans.2d_dat,1.0,1080,2.3,-9.37327840e-01
87,waveguide_smt_L1.0_LAM1080_Neff2.5_end.0-trans.2d_dat,1.0,1080,2.5,-1.87870693e+00
88,waveguide_smt_L1.0_LAM1080_Neff2.7_end.0-trans.2d_dat,1.0,1080,2.7,-3.14159265e+00
89,waveguide_smt_L1.0_LAM1080_Neff2.9_end.0-trans.2d_dat,1.0,1080,2.9,1.84943155e+00
90,waveguide_smt_L1.0_LAM1090_Neff1.1_end.0-trans.2d_dat,1.0,1090,1.1,-5.76439019e-02
91,waveguide_smt_L1.0_LAM1090_Neff1.3_end.0-trans.2d_dat,1.0,1090,1.3,-1.21508005e+00
92,waveguide_smt_L1.0_LAM1090_Neff1.5_end.0-trans.2d_dat,1.0,1090,1.5,-2.33973014e+00
93,waveguide_smt_L1.0_LAM1090_Neff1.7_end.0-trans.2d_dat,1.0,1090,1.7,2.73455190e+00
94,waveguide_smt_L1.0_LAM1090_Neff1.9_end.0-trans.2d_dat,1.0,1090,1.9,1.60829457e+00
95,waveguide_smt_L1.0_LAM1090_Neff2.1_end.0-trans.2d_dat,1.0,1090,2.1,5.43673351e-01
96,waveguide_smt_L1.0_LAM1090_Neff2.3_end.0-trans.2d_dat,1.0,1090,2.3,-8.16372048e-01
97,waveguide_smt_L1.0_LAM1090_Neff2.5_end.0-trans.2d_dat,1.0,1090,2.5,-1.77498099e+00
98,waveguide_smt_L1.0_LAM1090_Neff2.7_end.0-trans.2d_dat,1.0,1090,2.7,-2.93684539e+00
99,waveguide_smt_L1.0_LAM1090_Neff2.9_end.0-trans.2d_dat,1.0,1090,2.9,1.96644209e+00
100,waveguide_smt_L1.0_LAM1100_Neff1.1_end.0-trans.2d_dat,1.0,1100,1.1,6.28321907e-12
101,waveguide_smt_L1.0_LAM1100_Neff1.3_end.0-trans.2d_dat,1.0,1100,1.3,-1.14762178e+00
102,waveguide_smt_L1.0_LAM1100_Neff1.5_end.0-trans.2d_dat,1.0,1100,1.5,-2.26144982e+00
103,waveguide_smt_L1.0_LAM1100_Neff1.7_end.0-trans.2d_dat,1.0,1100,1.7,2.83017620e+00
104,waveguide_smt_L1.0_LAM1100_Neff1.9_end.0-trans.2d_dat,1.0,1100,1.9,1.69484352e+00
105,waveguide_smt_L1.0_LAM1100_Neff2.1_end.0-trans.2d_dat,1.0,1100,2.1,6.63522771e-01
106,waveguide_smt_L1.0_LAM1100_Neff2.3_end.0-trans.2d_dat,1.0,1100,2.3,-6.90128785e-01
107,waveguide_smt_L1.0_LAM1100_Neff2.5_end.0-trans.2d_dat,1.0,1100,2.5,-1.67640471e+00
108,waveguide_smt_L1.0_LAM1100_Neff2.7_end.0-trans.2d_dat,1.0,1100,2.7,-2.74381796e+00
109,waveguide_smt_L1.0_LAM1100_Neff2.9_end.0-trans.2d_dat,1.0,1100,2.9,2.09238070e+00
110,waveguide_smt_L1.0_LAM1110_Neff1.1_end.0-trans.2d_dat,1.0,1110,1.1,5.66052730e-02
111,waveguide_smt_L1.0_LAM1110_Neff1.3_end.0-trans.2d_dat,1.0,1110,1.3,-1.08128609e+00
112,waveguide_smt_L1.0_LAM1110_Neff1.5_end.0-trans.2d_dat,1.0,1110,1.5,-2.18513404e+00
113,waveguide_smt_L1.0_LAM1110_Neff1.7_end.0-trans.2d_dat,1.0,1110,1.7,2.92497021e+00
114,waveguide_smt_L1.0_LAM1110_Neff1.9_end.0-trans.2d_dat,1.0,1110,1.9,1.78042034e+00
115,waveguide_smt_L1.0_LAM1110_Neff2.1_end.0-trans.2d_dat,1.0,1110,2.1,7.76426094e-01
116,waveguide_smt_L1.0_LAM1110_Neff2.3_end.0-trans.2d_dat,1.0,1110,2.3,-5.58624089e-01
117,waveguide_smt_L1.0_LAM1110_Neff2.5_end.0-trans.2d_dat,1.0,1110,2.5,-1.58122992e+00
118,waveguide_smt_L1.0_LAM1110_Neff2.7_end.0-trans.2d_dat,1.0,1110,2.7,-2.56744058e+00
119,waveguide_smt_L1.0_LAM1110_Neff2.9_end.0-trans.2d_dat,1.0,1110,2.9,2.23035484e+00
120,waveguide_smt_L1.0_LAM1120_Neff1.1_end.0-trans.2d_dat,1.0,1120,1.1,1.12199738e-01
121,waveguide_smt_L1.0_LAM1120_Neff1.3_end.0-trans.2d_dat,1.0,1120,1.3,-1.01603549e+00
122,waveguide_smt_L1.0_LAM1120_Neff1.5_end.0-trans.2d_dat,1.0,1120,1.5,-2.11069021e+00
123,waveguide_smt_L1.0_LAM1120_Neff1.7_end.0-trans.2d_dat,1.0,1120,1.7,3.01869667e+00
124,waveguide_smt_L1.0_LAM1120_Neff1.9_end.0-trans.2d_dat,1.0,1120,1.9,1.86541833e+00
125,waveguide_smt_L1.0_LAM1120_Neff2.1_end.0-trans.2d_dat,1.0,1120,2.1,8.82745737e-01
126,waveguide_smt_L1.0_LAM1120_Neff2.3_end.0-trans.2d_dat,1.0,1120,2.3,-4.22434492e-01
127,waveguide_smt_L1.0_LAM1120_Neff2.5_end.0-trans.2d_dat,1.0,1120,2.5,-1.48791676e+00
128,waveguide_smt_L1.0_LAM1120_Neff2.7_end.0-trans.2d_dat,1.0,1120,2.7,-2.40925174e+00
129,waveguide_smt_L1.0_LAM1120_Neff2.9_end.0-trans.2d_dat,1.0,1120,2.9,2.38317892e+00
130,waveguide_smt_L1.0_LAM1130_Neff1.1_end.0-trans.2d_dat,1.0,1130,1.1,1.66810229e-01
131,waveguide_smt_L1.0_LAM1130_Neff1.3_end.0-trans.2d_dat,1.0,1130,1.3,-9.51836039e-01
