11 1.0  -26.0303 5.3697
29 1.2  -31.2364 0.163600000000004
47 1.4  -36.4425 1.2375
65 1.6  -41.6485 2.31150000000001
83 1.8  -46.8546 3.38540000000001
101 2.0  -52.0607 4.45930000000001
119 2.2  -57.2667 5.53330000000001
137 2.4  -62.4728 0.32720000000001
155 2.6  -67.6789 1.40110000000001
173 2.8  -72.8849 2.47510000000001
191 3.0  -78.091 3.54900000000002
