16 1.0  -13.9626 4.8774
34 1.2  -16.7552 2.0848
52 1.4  -19.5477 5.5723
70 1.6  -22.3402 2.7798
88 1.8  -25.1327 6.2673
106 2.0  -27.9253 3.4747
124 2.2  -30.7178 0.682200000000003
142 2.4  -33.5103 4.1697
160 2.6  -36.3028 1.37720000000001
178 2.8  -39.0954 4.86460000000001
196 3.0  -41.8879 2.0721
