8 1.0  -30.3687 1.0313
26 1.2  -36.4425 1.2375
44 1.4  -42.5162 1.44380000000001
62 1.6  -48.59 1.65
80 1.8  -54.6637 1.85630000000001
98 2.0  -60.7375 2.06250000000001
116 2.2  -66.8112 2.26880000000001
134 2.4  -72.8849 2.47510000000001
152 2.6  -78.9587 2.68130000000002
170 2.8  -85.0324 2.88760000000002
188 3.0  -91.1062 3.09380000000001
