10 1.0  -17.952 0.888000000000003
28 1.2  -21.5423 3.5777
46 1.4  -25.1327 6.2673
64 1.6  -28.7231 2.67690000000001
82 1.8  -32.3135 5.36650000000001
100 2.0  -35.9039 1.7761
118 2.2  -39.4943 4.4657
136 2.4  -43.0847 0.875300000000008
154 2.6  -46.6751 3.56490000000001
172 2.8  -50.2655 6.2545
190 3.0  -53.8559 2.66410000000001
