17 1.0  -20.2458 4.8742
35 1.2  -24.295 0.825000000000001
53 1.4  -28.3441 3.0559
71 1.6  -32.3933 5.28670000000001
89 1.8  -36.4425 1.2375
107 2.0  -40.4916 3.46840000000001
125 2.2  -44.5408 5.69920000000001
143 2.4  -48.59 1.65
161 2.6  -52.6391 3.88090000000001
179 2.8  -56.6883 6.11170000000001
197 3.0  -60.7375 2.06250000000001
