2 1.0  -18.2212 0.618800000000002
20 1.2  -21.8655 3.2545
38 1.4  -25.5097 5.8903
56 1.6  -29.154 2.246
74 1.8  -32.7982 4.8818
92 2.0  -36.4425 1.2375
110 2.2  -40.0867 3.87330000000001
128 2.4  -43.731 0.229000000000005
146 2.6  -47.3752 2.86480000000001
164 2.8  -51.0195 5.50050000000001
182 3.0  -54.6637 1.85630000000001
