dataSetName,dataSetNumber,Lenght,Lambda,Neff,phaseShift
51,waveguide_smt_L2.6_LAM700_Neff1.1_end.0-trans.2d_dat,2.6,700,1.1,-5.38558741e-01
52,waveguide_smt_L2.6_LAM800_Neff1.1_end.0-trans.2d_dat,2.6,800,1.1,2.67035376e+00
53,waveguide_smt_L2.6_LAM900_Neff1.1_end.0-trans.2d_dat,2.6,900,1.1,-1.11701072e+00
54,waveguide_smt_L2.8_LAM1000_Neff1.1_end.0-trans.2d_dat,2.8,1000,1.1,-5.02654825e-01
55,waveguide_smt_L2.8_LAM1100_Neff1.1_end.0-trans.2d_dat,2.8,1100,1.1,1.25663706e+00
56,waveguide_smt_L2.8_LAM600_Neff1.1_end.0-trans.2d_dat,2.8,600,1.1,-8.37758041e-01
57,waveguide_smt_L2.8_LAM700_Neff1.1_end.0-trans.2d_dat,2.8,700,1.1,-2.51327412e+00
58,waveguide_smt_L2.8_LAM800_Neff1.1_end.0-trans.2d_dat,2.8,800,1.1,9.42477796e-01
59,waveguide_smt_L2.8_LAM900_Neff1.1_end.0-trans.2d_dat,2.8,900,1.1,-2.65290046e+00
60,waveguide_smt_L3.0_LAM1000_Neff1.1_end.0-trans.2d_dat,3.0,1000,1.1,-1.88495559e+00
61,waveguide_smt_L3.0_LAM1100_Neff1.1_end.0-trans.2d_dat,3.0,1100,1.1,1.88514336e-11
62,waveguide_smt_L3.0_LAM600_Neff1.1_end.0-trans.2d_dat,3.0,600,1.1,-3.14159265e+00
63,waveguide_smt_L3.0_LAM700_Neff1.1_end.0-trans.2d_dat,3.0,700,1.1,1.79519580e+00
64,waveguide_smt_L3.0_LAM800_Neff1.1_end.0-trans.2d_dat,3.0,800,1.1,-7.85398163e-01
65,waveguide_smt_L3.0_LAM900_Neff1.1_end.0-trans.2d_dat,3.0,900,1.1,2.09439510e+00
