dataSetName,dataSetNumber,Lenght,Lambda,Neff,phaseShift
0,waveguide_smt_L1.0_LAM1000_Neff1.1_end.0-trans.2d_dat,1.0,1000,1.1,-6.28318531e-01
1,waveguide_smt_L1.0_LAM1100_Neff1.1_end.0-trans.2d_dat,1.0,1100,1.1,6.28321907e-12
2,waveguide_smt_L1.0_LAM600_Neff1.1_end.0-trans.2d_dat,1.0,600,1.1,1.04719755e+00
3,waveguide_smt_L1.0_LAM700_Neff1.1_end.0-trans.2d_dat,1.0,700,1.1,2.69279370e+00
4,waveguide_smt_L1.0_LAM800_Neff1.1_end.0-trans.2d_dat,1.0,800,1.1,-2.35619449e+00
5,waveguide_smt_L1.0_LAM900_Neff1.1_end.0-trans.2d_dat,1.0,900,1.1,-1.39626340e+00
6,waveguide_smt_L1.2_LAM1000_Neff1.1_end.0-trans.2d_dat,1.2,1000,1.1,-2.01061930e+00
7,waveguide_smt_L1.2_LAM1100_Neff1.1_end.0-trans.2d_dat,1.2,1100,1.1,-1.25663706e+00
8,waveguide_smt_L1.2_LAM600_Neff1.1_end.0-trans.2d_dat,1.2,600,1.1,-1.25663706e+00
9,waveguide_smt_L1.2_LAM700_Neff1.1_end.0-trans.2d_dat,1.2,700,1.1,7.18078321e-01
10,waveguide_smt_L1.2_LAM800_Neff1.1_end.0-trans.2d_dat,1.2,800,1.1,2.19911486e+00
11,waveguide_smt_L1.2_LAM900_Neff1.1_end.0-trans.2d_dat,1.2,900,1.1,-2.93215314e+00
12,waveguide_smt_L1.4_LAM1000_Neff1.1_end.0-trans.2d_dat,1.4,1000,1.1,2.89026524e+00
13,waveguide_smt_L1.4_LAM1100_Neff1.1_end.0-trans.2d_dat,1.4,1100,1.1,-2.51327412e+00
14,waveguide_smt_L1.4_LAM600_Neff1.1_end.0-trans.2d_dat,1.4,600,1.1,2.72271363e+00
15,waveguide_smt_L1.4_LAM700_Neff1.1_end.0-trans.2d_dat,1.4,700,1.1,-1.25663706e+00
16,waveguide_smt_L1.4_LAM800_Neff1.1_end.0-trans.2d_dat,1.4,800,1.1,4.71238898e-01
17,waveguide_smt_L1.4_LAM900_Neff1.1_end.0-trans.2d_dat,1.4,900,1.1,1.81514242e+00
18,waveguide_smt_L1.6_LAM1000_Neff1.1_end.0-trans.2d_dat,1.6,1000,1.1,1.50796447e+00
19,waveguide_smt_L1.6_LAM1100_Neff1.1_end.0-trans.2d_dat,1.6,1100,1.1,2.51327412e+00
20,waveguide_smt_L1.6_LAM600_Neff1.1_end.0-trans.2d_dat,1.6,600,1.1,4.18879020e-01
21,waveguide_smt_L1.6_LAM700_Neff1.1_end.0-trans.2d_dat,1.6,700,1.1,3.05183286e+00
22,waveguide_smt_L1.6_LAM800_Neff1.1_end.0-trans.2d_dat,1.6,800,1.1,-1.25663706e+00
23,waveguide_smt_L1.6_LAM900_Neff1.1_end.0-trans.2d_dat,1.6,900,1.1,2.79252680e-01
24,waveguide_smt_L1.8_LAM1000_Neff1.1_end.0-trans.2d_dat,1.8,1000,1.1,1.25663706e-01
25,waveguide_smt_L1.8_LAM1100_Neff1.1_end.0-trans.2d_dat,1.8,1100,1.1,1.25663706e+00
26,waveguide_smt_L1.8_LAM600_Neff1.1_end.0-trans.2d_dat,1.8,600,1.1,-1.88495559e+00
27,waveguide_smt_L1.8_LAM700_Neff1.1_end.0-trans.2d_dat,1.8,700,1.1,1.07711748e+00
28,waveguide_smt_L1.8_LAM800_Neff1.1_end.0-trans.2d_dat,1.8,800,1.1,-2.98451302e+00
29,waveguide_smt_L1.8_LAM900_Neff1.1_end.0-trans.2d_dat,1.8,900,1.1,-1.25663706e+00
30,waveguide_smt_L2.0_LAM1000_Neff1.1_end.0-trans.2d_dat,2.0,1000,1.1,-1.25663706e+00
31,waveguide_smt_L2.0_LAM1100_Neff1.1_end.0-trans.2d_dat,2.0,1100,1.1,1.25664381e-11
32,waveguide_smt_L2.0_LAM600_Neff1.1_end.0-trans.2d_dat,2.0,600,1.1,2.09439510e+00
33,waveguide_smt_L2.0_LAM700_Neff1.1_end.0-trans.2d_dat,2.0,700,1.1,-8.97597901e-01
34,waveguide_smt_L2.0_LAM800_Neff1.1_end.0-trans.2d_dat,2.0,800,1.1,1.57079633e+00
35,waveguide_smt_L2.0_LAM900_Neff1.1_end.0-trans.2d_dat,2.0,900,1.1,-2.79252680e+00
36,waveguide_smt_L2.2_LAM1000_Neff1.1_end.0-trans.2d_dat,2.2,1000,1.1,-2.63893783e+00
37,waveguide_smt_L2.2_LAM1100_Neff1.1_end.0-trans.2d_dat,2.2,1100,1.1,-1.25663706e+00
38,waveguide_smt_L2.2_LAM600_Neff1.1_end.0-trans.2d_dat,2.2,600,1.1,-2.09439510e-01
39,waveguide_smt_L2.2_LAM700_Neff1.1_end.0-trans.2d_dat,2.2,700,1.1,-2.87231328e+00
40,waveguide_smt_L2.2_LAM800_Neff1.1_end.0-trans.2d_dat,2.2,800,1.1,-1.57079633e-01
41,waveguide_smt_L2.2_LAM900_Neff1.1_end.0-trans.2d_dat,2.2,900,1.1,1.95476876e+00
42,waveguide_smt_L2.4_LAM1000_Neff1.1_end.0-trans.2d_dat,2.4,1000,1.1,2.26194671e+00
43,waveguide_smt_L2.4_LAM1100_Neff1.1_end.0-trans.2d_dat,2.4,1100,1.1,-2.51327412e+00
44,waveguide_smt_L2.4_LAM600_Neff1.1_end.0-trans.2d_dat,2.4,600,1.1,-2.51327412e+00
45,waveguide_smt_L2.4_LAM700_Neff1.1_end.0-trans.2d_dat,2.4,700,1.1,1.43615664e+00
46,waveguide_smt_L2.4_LAM800_Neff1.1_end.0-trans.2d_dat,2.4,800,1.1,-1.88495559e+00
47,waveguide_smt_L2.4_LAM900_Neff1.1_end.0-trans.2d_dat,2.4,900,1.1,4.18879020e-01
48,waveguide_smt_L2.6_LAM1000_Neff1.1_end.0-trans.2d_dat,2.6,1000,1.1,8.79645943e-01
49,waveguide_smt_L2.6_LAM1100_Neff1.1_end.0-trans.2d_dat,2.6,1100,1.1,2.51327412e+00
50,waveguide_smt_L2.6_LAM600_Neff1.1_end.0-trans.2d_dat,2.6,600,1.1,1.46607657e+00
