dataSetName,dataSetNumber,Lenght,Lambda,Neff,phaseShift
0,waveguide_op_L1.0_LAM1000_Neff1.1_end.log,1.0,1000,1.1, -6.9115
1,waveguide_op_L1.0_LAM1000_Neff2.0_end.log,1.0,1000,2.0, -12.5664
2,waveguide_op_L1.0_LAM1000_Neff2.9_end.log,1.0,1000,2.9, -18.2212
3,waveguide_op_L1.0_LAM1100_Neff1.1_end.log,1.0,1100,1.1, -6.28319
4,waveguide_op_L1.0_LAM1100_Neff2.0_end.log,1.0,1100,2.0, -11.424
5,waveguide_op_L1.0_LAM1100_Neff2.9_end.log,1.0,1100,2.9, -16.5648
6,waveguide_op_L1.0_LAM600_Neff1.1_end.log,1.0,600,1.1, -11.5192
7,waveguide_op_L1.0_LAM600_Neff2.0_end.log,1.0,600,2.0, -20.944
8,waveguide_op_L1.0_LAM600_Neff2.9_end.log,1.0,600,2.9, -30.3687
9,waveguide_op_L1.0_LAM700_Neff1.1_end.log,1.0,700,1.1, -9.87358
10,waveguide_op_L1.0_LAM700_Neff2.0_end.log,1.0,700,2.0, -17.952
11,waveguide_op_L1.0_LAM700_Neff2.9_end.log,1.0,700,2.9, -26.0303
12,waveguide_op_L1.0_LAM800_Neff1.1_end.log,1.0,800,1.1, -8.63938
13,waveguide_op_L1.0_LAM800_Neff2.0_end.log,1.0,800,2.0, -15.708
14,waveguide_op_L1.0_LAM800_Neff2.9_end.log,1.0,800,2.9, -22.7765
15,waveguide_op_L1.0_LAM900_Neff1.1_end.log,1.0,900,1.1, -7.67945
16,waveguide_op_L1.0_LAM900_Neff2.0_end.log,1.0,900,2.0, -13.9626
17,waveguide_op_L1.0_LAM900_Neff2.9_end.log,1.0,900,2.9, -20.2458
18,waveguide_op_L1.2_LAM1000_Neff1.1_end.log,1.2,1000,1.1, -8.2938
19,waveguide_op_L1.2_LAM1000_Neff2.0_end.log,1.2,1000,2.0, -15.0796
20,waveguide_op_L1.2_LAM1000_Neff2.9_end.log,1.2,1000,2.9, -21.8655
21,waveguide_op_L1.2_LAM1100_Neff1.1_end.log,1.2,1100,1.1, -7.53982
22,waveguide_op_L1.2_LAM1100_Neff2.0_end.log,1.2,1100,2.0, -13.7088
23,waveguide_op_L1.2_LAM1100_Neff2.9_end.log,1.2,1100,2.9, -19.8777
24,waveguide_op_L1.2_LAM600_Neff1.1_end.log,1.2,600,1.1, -13.823
25,waveguide_op_L1.2_LAM600_Neff2.0_end.log,1.2,600,2.0, -25.1327
26,waveguide_op_L1.2_LAM600_Neff2.9_end.log,1.2,600,2.9, -36.4425
27,waveguide_op_L1.2_LAM700_Neff1.1_end.log,1.2,700,1.1, -11.8483
28,waveguide_op_L1.2_LAM700_Neff2.0_end.log,1.2,700,2.0, -21.5423
29,waveguide_op_L1.2_LAM700_Neff2.9_end.log,1.2,700,2.9, -31.2364
30,waveguide_op_L1.2_LAM800_Neff1.1_end.log,1.2,800,1.1, -10.3673
31,waveguide_op_L1.2_LAM800_Neff2.0_end.log,1.2,800,2.0, -18.8496
32,waveguide_op_L1.2_LAM800_Neff2.9_end.log,1.2,800,2.9, -27.3319
33,waveguide_op_L1.2_LAM900_Neff1.1_end.log,1.2,900,1.1, -9.21534
34,waveguide_op_L1.2_LAM900_Neff2.0_end.log,1.2,900,2.0, -16.7552
35,waveguide_op_L1.2_LAM900_Neff2.9_end.log,1.2,900,2.9, -24.295
36,waveguide_op_L1.4_LAM1000_Neff1.1_end.log,1.4,1000,1.1, -9.67611
37,waveguide_op_L1.4_LAM1000_Neff2.0_end.log,1.4,1000,2.0, -17.5929
38,waveguide_op_L1.4_LAM1000_Neff2.9_end.log,1.4,1000,2.9, -25.5097
39,waveguide_op_L1.4_LAM1100_Neff1.1_end.log,1.4,1100,1.1, -8.79646
40,waveguide_op_L1.4_LAM1100_Neff2.0_end.log,1.4,1100,2.0, -15.9936
41,waveguide_op_L1.4_LAM1100_Neff2.9_end.log,1.4,1100,2.9, -23.1907
42,waveguide_op_L1.4_LAM600_Neff1.1_end.log,1.4,600,1.1, -16.1268
43,waveguide_op_L1.4_LAM600_Neff2.0_end.log,1.4,600,2.0, -29.3215
44,waveguide_op_L1.4_LAM600_Neff2.9_end.log,1.4,600,2.9, -42.5162
45,waveguide_op_L1.4_LAM700_Neff1.1_end.log,1.4,700,1.1, -13.823
46,waveguide_op_L1.4_LAM700_Neff2.0_end.log,1.4,700,2.0, -25.1327
47,waveguide_op_L1.4_LAM700_Neff2.9_end.log,1.4,700,2.9, -36.4425
48,waveguide_op_L1.4_LAM800_Neff1.1_end.log,1.4,800,1.1, -12.0951
49,waveguide_op_L1.4_LAM800_Neff2.0_end.log,1.4,800,2.0, -21.9911
50,waveguide_op_L1.4_LAM800_Neff2.9_end.log,1.4,800,2.9, -31.8872
51,waveguide_op_L1.4_LAM900_Neff1.1_end.log,1.4,900,1.1, -10.7512
52,waveguide_op_L1.4_LAM900_Neff2.0_end.log,1.4,900,2.0, -19.5477
53,waveguide_op_L1.4_LAM900_Neff2.9_end.log,1.4,900,2.9, -28.3441
54,waveguide_op_L1.6_LAM1000_Neff1.1_end.log,1.6,1000,1.1, -11.0584
55,waveguide_op_L1.6_LAM1000_Neff2.0_end.log,1.6,1000,2.0, -20.1062
56,waveguide_op_L1.6_LAM1000_Neff2.9_end.log,1.6,1000,2.9, -29.154
57,waveguide_op_L1.6_LAM1100_Neff1.1_end.log,1.6,1100,1.1, -10.0531
58,waveguide_op_L1.6_LAM1100_Neff2.0_end.log,1.6,1100,2.0, -18.2784
59,waveguide_op_L1.6_LAM1100_Neff2.9_end.log,1.6,1100,2.9, -26.5036
60,waveguide_op_L1.6_LAM600_Neff1.1_end.log,1.6,600,1.1, -18.4307
61,waveguide_op_L1.6_LAM600_Neff2.0_end.log,1.6,600,2.0, -33.5103
62,waveguide_op_L1.6_LAM600_Neff2.9_end.log,1.6,600,2.9, -48.59
63,waveguide_op_L1.6_LAM700_Neff1.1_end.log,1.6,700,1.1, -15.7977
64,waveguide_op_L1.6_LAM700_Neff2.0_end.log,1.6,700,2.0, -28.7231
65,waveguide_op_L1.6_LAM700_Neff2.9_end.log,1.6,700,2.9, -41.6485
66,waveguide_op_L1.6_LAM800_Neff1.1_end.log,1.6,800,1.1, -13.823
67,waveguide_op_L1.6_LAM800_Neff2.0_end.log,1.6,800,2.0, -25.1327
68,waveguide_op_L1.6_LAM800_Neff2.9_end.log,1.6,800,2.9, -36.4425
69,waveguide_op_L1.6_LAM900_Neff1.1_end.log,1.6,900,1.1, -12.2871
70,waveguide_op_L1.6_LAM900_Neff2.0_end.log,1.6,900,2.0, -22.3402
71,waveguide_op_L1.6_LAM900_Neff2.9_end.log,1.6,900,2.9, -32.3933
72,waveguide_op_L1.8_LAM1000_Neff1.1_end.log,1.8,1000,1.1, -12.4407
73,waveguide_op_L1.8_LAM1000_Neff2.0_end.log,1.8,1000,2.0, -22.6195
74,waveguide_op_L1.8_LAM1000_Neff2.9_end.log,1.8,1000,2.9, -32.7982
75,waveguide_op_L1.8_LAM1100_Neff1.1_end.log,1.8,1100,1.1, -11.3097
76,waveguide_op_L1.8_LAM1100_Neff2.0_end.log,1.8,1100,2.0, -20.5632
77,waveguide_op_L1.8_LAM1100_Neff2.9_end.log,1.8,1100,2.9, -29.8166
78,waveguide_op_L1.8_LAM600_Neff1.1_end.log,1.8,600,1.1, -20.7345
79,waveguide_op_L1.8_LAM600_Neff2.0_end.log,1.8,600,2.0, -37.6991
80,waveguide_op_L1.8_LAM600_Neff2.9_end.log,1.8,600,2.9, -54.6637
81,waveguide_op_L1.8_LAM700_Neff1.1_end.log,1.8,700,1.1, -17.7724
82,waveguide_op_L1.8_LAM700_Neff2.0_end.log,1.8,700,2.0, -32.3135
83,waveguide_op_L1.8_LAM700_Neff2.9_end.log,1.8,700,2.9, -46.8546
84,waveguide_op_L1.8_LAM800_Neff1.1_end.log,1.8,800,1.1, -15.5509
85,waveguide_op_L1.8_LAM800_Neff2.0_end.log,1.8,800,2.0, -28.2743
86,waveguide_op_L1.8_LAM800_Neff2.9_end.log,1.8,800,2.9, -40.9978
87,waveguide_op_L1.8_LAM900_Neff1.1_end.log,1.8,900,1.1, -13.823
88,waveguide_op_L1.8_LAM900_Neff2.0_end.log,1.8,900,2.0, -25.1327
89,waveguide_op_L1.8_LAM900_Neff2.9_end.log,1.8,900,2.9, -36.4425
90,waveguide_op_L2.0_LAM1000_Neff1.1_end.log,2.0,1000,1.1, -13.823
91,waveguide_op_L2.0_LAM1000_Neff2.0_end.log,2.0,1000,2.0, -25.1327
