dataSetName,dataSetNumber,Lenght,Lambda,Neff,phaseShift
92,waveguide_op_L2.0_LAM1000_Neff2.9_end.log,2.0,1000,2.9, -36.4425
93,waveguide_op_L2.0_LAM1100_Neff1.1_end.log,2.0,1100,1.1, -12.5664
94,waveguide_op_L2.0_LAM1100_Neff2.0_end.log,2.0,1100,2.0, -22.8479
95,waveguide_op_L2.0_LAM1100_Neff2.9_end.log,2.0,1100,2.9, -33.1295
96,waveguide_op_L2.0_LAM600_Neff1.1_end.log,2.0,600,1.1, -23.0383
97,waveguide_op_L2.0_LAM600_Neff2.0_end.log,2.0,600,2.0, -41.8879
98,waveguide_op_L2.0_LAM600_Neff2.9_end.log,2.0,600,2.9, -60.7375
99,waveguide_op_L2.0_LAM700_Neff1.1_end.log,2.0,700,1.1, -19.7472
100,waveguide_op_L2.0_LAM700_Neff2.0_end.log,2.0,700,2.0, -35.9039
101,waveguide_op_L2.0_LAM700_Neff2.9_end.log,2.0,700,2.9, -52.0607
102,waveguide_op_L2.0_LAM800_Neff1.1_end.log,2.0,800,1.1, -17.2788
103,waveguide_op_L2.0_LAM800_Neff2.0_end.log,2.0,800,2.0, -31.4159
104,waveguide_op_L2.0_LAM800_Neff2.9_end.log,2.0,800,2.9, -45.5531
105,waveguide_op_L2.0_LAM900_Neff1.1_end.log,2.0,900,1.1, -15.3589
106,waveguide_op_L2.0_LAM900_Neff2.0_end.log,2.0,900,2.0, -27.9253
107,waveguide_op_L2.0_LAM900_Neff2.9_end.log,2.0,900,2.9, -40.4916
108,waveguide_op_L2.2_LAM1000_Neff1.1_end.log,2.2,1000,1.1, -15.2053
109,waveguide_op_L2.2_LAM1000_Neff2.0_end.log,2.2,1000,2.0, -27.646
110,waveguide_op_L2.2_LAM1000_Neff2.9_end.log,2.2,1000,2.9, -40.0867
111,waveguide_op_L2.2_LAM1100_Neff1.1_end.log,2.2,1100,1.1, -13.823
112,waveguide_op_L2.2_LAM1100_Neff2.0_end.log,2.2,1100,2.0, -25.1327
113,waveguide_op_L2.2_LAM1100_Neff2.9_end.log,2.2,1100,2.9, -36.4425
114,waveguide_op_L2.2_LAM600_Neff1.1_end.log,2.2,600,1.1, -25.3422
115,waveguide_op_L2.2_LAM600_Neff2.0_end.log,2.2,600,2.0, -46.0767
116,waveguide_op_L2.2_LAM600_Neff2.9_end.log,2.2,600,2.9, -66.8112
117,waveguide_op_L2.2_LAM700_Neff1.1_end.log,2.2,700,1.1, -21.7219
118,waveguide_op_L2.2_LAM700_Neff2.0_end.log,2.2,700,2.0, -39.4943
119,waveguide_op_L2.2_LAM700_Neff2.9_end.log,2.2,700,2.9, -57.2667
120,waveguide_op_L2.2_LAM800_Neff1.1_end.log,2.2,800,1.1, -19.0066
121,waveguide_op_L2.2_LAM800_Neff2.0_end.log,2.2,800,2.0, -34.5575
122,waveguide_op_L2.2_LAM800_Neff2.9_end.log,2.2,800,2.9, -50.1084
123,waveguide_op_L2.2_LAM900_Neff1.1_end.log,2.2,900,1.1, -16.8948
124,waveguide_op_L2.2_LAM900_Neff2.0_end.log,2.2,900,2.0, -30.7178
125,waveguide_op_L2.2_LAM900_Neff2.9_end.log,2.2,900,2.9, -44.5408
126,waveguide_op_L2.4_LAM1000_Neff1.1_end.log,2.4,1000,1.1, -16.5876
127,waveguide_op_L2.4_LAM1000_Neff2.0_end.log,2.4,1000,2.0, -30.1593
128,waveguide_op_L2.4_LAM1000_Neff2.9_end.log,2.4,1000,2.9, -43.731
129,waveguide_op_L2.4_LAM1100_Neff1.1_end.log,2.4,1100,1.1, -15.0796
130,waveguide_op_L2.4_LAM1100_Neff2.0_end.log,2.4,1100,2.0, -27.4175
131,waveguide_op_L2.4_LAM1100_Neff2.9_end.log,2.4,1100,2.9, -39.7554
132,waveguide_op_L2.4_LAM600_Neff1.1_end.log,2.4,600,1.1, -27.646
133,waveguide_op_L2.4_LAM600_Neff2.0_end.log,2.4,600,2.0, -50.2655
134,waveguide_op_L2.4_LAM600_Neff2.9_end.log,2.4,600,2.9, -72.8849
135,waveguide_op_L2.4_LAM700_Neff1.1_end.log,2.4,700,1.1, -23.6966
136,waveguide_op_L2.4_LAM700_Neff2.0_end.log,2.4,700,2.0, -43.0847
137,waveguide_op_L2.4_LAM700_Neff2.9_end.log,2.4,700,2.9, -62.4728
138,waveguide_op_L2.4_LAM800_Neff1.1_end.log,2.4,800,1.1, -20.7345
139,waveguide_op_L2.4_LAM800_Neff2.0_end.log,2.4,800,2.0, -37.6991
140,waveguide_op_L2.4_LAM800_Neff2.9_end.log,2.4,800,2.9, -54.6637
141,waveguide_op_L2.4_LAM900_Neff1.1_end.log,2.4,900,1.1, -18.4307
142,waveguide_op_L2.4_LAM900_Neff2.0_end.log,2.4,900,2.0, -33.5103
143,waveguide_op_L2.4_LAM900_Neff2.9_end.log,2.4,900,2.9, -48.59
144,waveguide_op_L2.6_LAM1000_Neff1.1_end.log,2.6,1000,1.1, -17.9699
145,waveguide_op_L2.6_LAM1000_Neff2.0_end.log,2.6,1000,2.0, -32.6726
146,waveguide_op_L2.6_LAM1000_Neff2.9_end.log,2.6,1000,2.9, -47.3752
147,waveguide_op_L2.6_LAM1100_Neff1.1_end.log,2.6,1100,1.1, -16.3363
148,waveguide_op_L2.6_LAM1100_Neff2.0_end.log,2.6,1100,2.0, -29.7023
149,waveguide_op_L2.6_LAM1100_Neff2.9_end.log,2.6,1100,2.9, -43.0684
150,waveguide_op_L2.6_LAM600_Neff1.1_end.log,2.6,600,1.1, -29.9498
151,waveguide_op_L2.6_LAM600_Neff2.0_end.log,2.6,600,2.0, -54.4543
152,waveguide_op_L2.6_LAM600_Neff2.9_end.log,2.6,600,2.9, -78.9587
153,waveguide_op_L2.6_LAM700_Neff1.1_end.log,2.6,700,1.1, -25.6713
154,waveguide_op_L2.6_LAM700_Neff2.0_end.log,2.6,700,2.0, -46.6751
155,waveguide_op_L2.6_LAM700_Neff2.9_end.log,2.6,700,2.9, -67.6789
156,waveguide_op_L2.6_LAM800_Neff1.1_end.log,2.6,800,1.1, -22.4624
157,waveguide_op_L2.6_LAM800_Neff2.0_end.log,2.6,800,2.0, -40.8407
158,waveguide_op_L2.6_LAM800_Neff2.9_end.log,2.6,800,2.9, -59.219
159,waveguide_op_L2.6_LAM900_Neff1.1_end.log,2.6,900,1.1, -19.9666
160,waveguide_op_L2.6_LAM900_Neff2.0_end.log,2.6,900,2.0, -36.3028
161,waveguide_op_L2.6_LAM900_Neff2.9_end.log,2.6,900,2.9, -52.6391
162,waveguide_op_L2.8_LAM1000_Neff1.1_end.log,2.8,1000,1.1, -19.3522
163,waveguide_op_L2.8_LAM1000_Neff2.0_end.log,2.8,1000,2.0, -35.1858
164,waveguide_op_L2.8_LAM1000_Neff2.9_end.log,2.8,1000,2.9, -51.0195
165,waveguide_op_L2.8_LAM1100_Neff1.1_end.log,2.8,1100,1.1, -17.5929
166,waveguide_op_L2.8_LAM1100_Neff2.0_end.log,2.8,1100,2.0, -31.9871
167,waveguide_op_L2.8_LAM1100_Neff2.9_end.log,2.8,1100,2.9, -46.3813
168,waveguide_op_L2.8_LAM600_Neff1.1_end.log,2.8,600,1.1, -32.2537
169,waveguide_op_L2.8_LAM600_Neff2.0_end.log,2.8,600,2.0, -58.6431
170,waveguide_op_L2.8_LAM600_Neff2.9_end.log,2.8,600,2.9, -85.0324
171,waveguide_op_L2.8_LAM700_Neff1.1_end.log,2.8,700,1.1, -27.646
172,waveguide_op_L2.8_LAM700_Neff2.0_end.log,2.8,700,2.0, -50.2655
173,waveguide_op_L2.8_LAM700_Neff2.9_end.log,2.8,700,2.9, -72.8849
174,waveguide_op_L2.8_LAM800_Neff1.1_end.log,2.8,800,1.1, -24.1903
175,waveguide_op_L2.8_LAM800_Neff2.0_end.log,2.8,800,2.0, -43.9823
176,waveguide_op_L2.8_LAM800_Neff2.9_end.log,2.8,800,2.9, -63.7743
177,waveguide_op_L2.8_LAM900_Neff1.1_end.log,2.8,900,1.1, -21.5025
178,waveguide_op_L2.8_LAM900_Neff2.0_end.log,2.8,900,2.0, -39.0954
179,waveguide_op_L2.8_LAM900_Neff2.9_end.log,2.8,900,2.9, -56.6883
180,waveguide_op_L3.0_LAM1000_Neff1.1_end.log,3.0,1000,1.1, -20.7345
181,waveguide_op_L3.0_LAM1000_Neff2.0_end.log,3.0,1000,2.0, -37.6991
182,waveguide_op_L3.0_LAM1000_Neff2.9_end.log,3.0,1000,2.9, -54.6637
183,waveguide_op_L3.0_LAM1100_Neff1.1_end.log,3.0,1100,1.1, -18.8496
184,waveguide_op_L3.0_LAM1100_Neff2.0_end.log,3.0,1100,2.0, -34.2719
185,waveguide_op_L3.0_LAM1100_Neff2.9_end.log,3.0,1100,2.9, -49.6943
186,waveguide_op_L3.0_LAM600_Neff1.1_end.log,3.0,600,1.1, -34.5575
187,waveguide_op_L3.0_LAM600_Neff2.0_end.log,3.0,600,2.0, -62.8319
188,waveguide_op_L3.0_LAM600_Neff2.9_end.log,3.0,600,2.9, -91.1062
189,waveguide_op_L3.0_LAM700_Neff1.1_end.log,3.0,700,1.1, -29.6207
190,waveguide_op_L3.0_LAM700_Neff2.0_end.log,3.0,700,2.0, -53.8559
191,waveguide_op_L3.0_LAM700_Neff2.9_end.log,3.0,700,2.9, -78.091
192,waveguide_op_L3.0_LAM800_Neff1.1_end.log,3.0,800,1.1, -25.9181
193,waveguide_op_L3.0_LAM800_Neff2.0_end.log,3.0,800,2.0, -47.1239
194,waveguide_op_L3.0_LAM800_Neff2.9_end.log,3.0,800,2.9, -68.3296
195,waveguide_op_L3.0_LAM900_Neff1.1_end.log,3.0,900,1.1, -23.0383
196,waveguide_op_L3.0_LAM900_Neff2.0_end.log,3.0,900,2.0, -41.8879
197,waveguide_op_L3.0_LAM900_Neff2.9_end.log,3.0,900,2.9, -60.7375
